Program ID,Broad Field,Field,Institution Name,Program Name,Total Faculty (2006),Number of Allocated Faculty (2006),Assistant Professors as a Percent of Total Faculty (2006),Tenured Faculty as a Percent of Total Faculty (2006),Number of Core and New Faculty (2006),Number of Students Enrolled (Fall 2005),Average Annual First Year Enrollment (2002-2006),Percent of Students with Research Assistantships (Fall 2005),Percent of Students with Teaching Assistantships (Fall 2005),Percent of First Year Students with Institutional Fellowships Alone,Percent  of First Year Students with a Combination of Fellowships and Traineeships,Percent of First Year Students with Both Internal Fellowships and Internal Assistantships,Percent of First Year Students with Multiple Internal Assistantships
20055860,Agricultural Sciences,Nutrition,Purdue University Main Campus,Foods and Nutrition,54,23.26,17%,81%,19,39,6.8,74.2%,3.2%,0%,0%,0%,0%
20012670,Agricultural Sciences,Nutrition,Rutgers The State University of New Jersey New Brunswick Campus,Nutritional Sciences,22,16.4,18%,68%,22,17,2.8,56.5%,8.7%,0%,0%,0%,0%
20021687,Agricultural Sciences,Nutrition,Texas A & M University,Nutrition,23,12.64,17%,74%,19,15,4,0%,0%,50%,0%,25%,25%
20029744,Agricultural Sciences,Nutrition,Tufts University,Nutrition,64,58.07,23%,0%,59,86,13.8,40%,0%,35.7%,0%,7.1%,0%
20048644,Agricultural Sciences,Nutrition,University of Alabama At Birmingham,Nutrition Sciences,28,25.74,32%,57%,28,11,2.4,0%,0%,27.3%,72.7%,0%,0%
20034182,Agricultural Sciences,Nutrition,University of Arizona,Nutritional Science,42,18.59,12%,,12,22,6,41.2%,0%,0%,0%,0%,33.3%
20061090,Agricultural Sciences,Nutrition,University of California-Berkeley,Molecular and Biochemical Nutrition,13,10,8%,92%,12,26,5.6,7.7%,0%,0%,0%,0%,0%
20067337,Agricultural Sciences,Nutrition,University of California-Davis,Nutritional Biology (Nutrition),72,55.14,3%,63%,71,105,20.4,20.2%,7.1%,18.8%,12.5%,18.8%,0%
20024192,Agricultural Sciences,Nutrition,University of Connecticut,Nutritional Science PhD,31,16.18,19%,71%,15,28,7.67,57.7%,3.8%,0%,0%,50%,0%
20019725,Agricultural Sciences,Nutrition,University of Georgia,Foods & Nutrition,33,19.03,9%,61%,16,10,3.2,32.8%,1.6%,0%,0%,0%,0%
20013132,Agricultural Sciences,Nutrition,University of Florida,Food Science and Human Nutrition: Nutritional Sciences,10,9.45,10%,90%,10,5,1.4,60%,0%,0%,0%,0%,0%
20042909,Agricultural Sciences,Nutrition,University of Illinois At Chicago,Human Nutrition,4,4,0%,100%,4,7,1.4,0%,0%,100%,0%,0%,0%
20039226,Agricultural Sciences,Nutrition,University of Illinois At Urbana-Champaign,Nutritional Science,65,23.3,23%,74%,50,28,4.4,55.6%,0%,0%,0%,0%,0%
20028318,Agricultural Sciences,Nutrition,University of Kentucky,Nutritional Sciences,58,24.3,7%,81%,21,21,6,38.1%,0%,33.3%,0%,0%,0%
20050438,Agricultural Sciences,Nutrition,University of Maryland College Park,Nutrition,22,9.61,9%,68%,13,15,4,20%,60%,0%,0%,0%,0%
20040150,Agricultural Sciences,Nutrition,University of Minnesota-Twin Cities,Nutrition,30,21.15,17%,53%,25,22,4.2,70.6%,0%,0%,0%,0%,0%
20017112,Agricultural Sciences,Nutrition,University of Nebraska - Lincoln,Nutrition,32,16.22,9%,63%,24,15,4.6,50%,12.5%,0%,0%,0%,33.3%
20045456,Agricultural Sciences,Nutrition,University of North Carolina At Chapel Hill,Nutrition,80,30.06,24%,69%,28,52,11.2,40.4%,0%,14.3%,0%,0%,0%
20070722,Agricultural Sciences,Nutrition,University of North Carolina At Greensboro,Nutrition,14,12,36%,50%,10,11,2,9.1%,0%,0%,0%,0%,100%
20065083,Agricultural Sciences,Nutrition,University of Rhode Island,Nutrition & Food Sciences,7,6.5,14%,86%,6,6,N/D,0%,0%,,0%,,
20032838,Agricultural Sciences,Nutrition,University of Southern Mississippi,Nutrition & Food Systems,7,7,43%,29%,7,8,3.6,100%,0%,0%,0%,0%,0%
20045951,Agricultural Sciences,Nutrition,University of Tennessee,Nutrition,23,13.67,17%,70%,14,5,1.75,80%,0%,0%,0%,0%,0%
20061744,Agricultural Sciences,Nutrition,University of Texas At Austin,Nutritional Sciences,21,11.93,14%,62%,13,26,8.4,0%,0%,0%,0%,87.5%,0%
20059866,Agricultural Sciences,Nutrition,University of Washington,Nutritional Sciences,36,15.41,3%,39%,13,12,4,54.5%,9.1%,25%,0%,0%,0%
20030940,Agricultural Sciences,Nutrition,University of Wisconsin-Madison,Nutritional Sciences,49,21.72,10%,,32,33,7.2,75%,3.1%,0%,0%,0%,0%
20062727,Agricultural Sciences,Nutrition,Utah State University,Nutrition and Food Sciences (AG),32,19.02,6%,50%,16,4,5.4,,,,,,
20044622,Agricultural Sciences,Nutrition,Virginia Polytechnic Institute And State University,"Human Nutrition, Foods and Exercise",43,21.41,26%,72%,19,16,7,40%,33.3%,0%,0%,0%,0%
20058472,Agricultural Sciences,Nutrition,Washington State University,Graduate Program in Nutrition,17,10.84,12%,82%,10,2,1.67,100%,0%,*,*,*,*
20021399,Agricultural Sciences,Nutrition,Wayne State University,Nutrition and Food Science,7,6.56,14%,57%,7,13,2.2,0%,66.7%,33.3%,0%,0%,0%
20037752,Agricultural Sciences,Plant Sciences,Auburn University,Agronomy and Soils,27,27,11%,78%,27,10,3.6,90%,0%,0%,0%,0%,0%
20037914,Agricultural Sciences,Plant Sciences,Auburn University,Horticulture,12,12,25%,75%,12,7,2.6,100%,0%,,0%,,
20017963,Agricultural Sciences,Plant Sciences,Claremont Graduate University,Botany,6,5.5,16.7%,0%,5,11,2,0%,0%,12.5%,62.5%,25%,
20038023,Agricultural Sciences,Plant Sciences,Auburn University,Plant Pathology,11,11,0%,100%,11,5,2,0%,0%,,0%,,
20016870,Agricultural Sciences,Plant Sciences,Clemson University,Plant and Environmental Sciences,28,20.95,14%,86%,24,24,7,87.5%,6.3%,0%,0%,0%,0%
20056377,Agricultural Sciences,Plant Sciences,Colorado State University,Horticulture,12,12,0%,83%,12,12,1.8,7.1%,4.8%,,13.3%,6.7%,40%
20015855,Agricultural Sciences,Plant Sciences,Cornell University,Horticulture,31,26.34,3%,81%,28,37,5.8,67.6%,2.7%,33.3%,0%,0%,0%
20016058,Agricultural Sciences,Plant Sciences,Cornell University,Plant Biology,44,28.04,7%,77%,43,49,9.2,52.3%,36.4%,60%,0%,0%,0%
20016061,Agricultural Sciences,Plant Sciences,Cornell University,Plant Breeding,22,13.69,9%,64%,16,26,6.4,53.8%,7.7%,25%,25%,0%,0%
20016074,Agricultural Sciences,Plant Sciences,Cornell University,Plant Pathology,39,30.42,15%,62%,29,40,7,62.5%,12.5%,40%,0%,0%,0%
20046581,Agricultural Sciences,Plant Sciences,Indiana University At Bloomington,Plant Sciences,18,5.24,17%,78%,14,7,1,66.7%,16.7%,*,*,*,*
20016155,Agricultural Sciences,Plant Sciences,Cornell University,Soil and Crop Sciences,30,21.17,7%,80%,24,34,7.2,40%,8.6%,33.3%,11.1%,0%,0%
20016388,Agricultural Sciences,Plant Sciences,Iowa State University,Crop Production & Physiology,20,15.67,20%,60%,14,13,2.2,61.5%,7.7%,,0%,,
20016508,Agricultural Sciences,Plant Sciences,Iowa State University,Horticulture,15,11.11,7%,87%,15,10,1.6,62.5%,0%,,,,
20016663,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Breeding,18,10.97,22%,50%,12,21,3.8,50%,0%,,0%,,
20016676,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Pathology,17,11.1,18%,59%,17,10,1.5,0%,0%,0%,0%,0%,100%
20016689,Agricultural Sciences,Plant Sciences,Iowa State University,Plant Physiology,32,7.71,25%,69%,26,23,4.75,86.4%,0%,,,,
20028486,Agricultural Sciences,Plant Sciences,Kansas State University,Agronomy and Crop Sciences,37,32.66,3%,84%,30,23,4.4,72.2%,0%,0%,16.7%,0%,16.7%
20028635,Agricultural Sciences,Plant Sciences,Kansas State University,Horticultural Science,13,13,8%,85%,13,13,2.4,33.3%,33.3%,0%,0%,0%,0%
20028703,Agricultural Sciences,Plant Sciences,Kansas State University,Plant Pathology,18,16.09,0%,72%,16,19,4.2,100%,0%,,,,
20057952,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Agronomy,52,26.22,15%,83%,24,21,7.4,77.8%,5.6%,0%,0%,0%,0%
20058155,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Horticulture,18,8.61,6%,83%,9,6,1.6,100%,0%,*,*,*,*
20058236,Agricultural Sciences,Plant Sciences,Louisiana State University And Agricultural And Mechanical College,Plant Health,24,14,8%,83%,13,6,2.4,100%,0%,0%,0%,0%,0%
20046866,Agricultural Sciences,Plant Sciences,Michigan State University,Crop and Soil Sciences,70,26.6,10%,83%,32,21,6.6,61.9%,0%,0%,0%,25%,0%
20047014,Agricultural Sciences,Plant Sciences,Michigan State University,Horticulture,55,18.66,11%,87%,25,8,3.25,87.5%,0%,0%,0%,0%,0%
20047179,Agricultural Sciences,Plant Sciences,Michigan State University,Plant Biology,78,21.45,12%,86%,33,31,7.4,19.4%,35.5%,12.5%,12.5%,25%,0%
20047182,Agricultural Sciences,Plant Sciences,Michigan State University,Plant Breeding & Genetics,40,15.89,8%,78%,23,13,4.8,61.5%,7.7%,0%,0%,0%,0%
20024370,Agricultural Sciences,Plant Sciences,Mississippi State University,Agronomy (degree: PhD in Agricultural Sciences),25,18.1,8%,44%,22,16,2.2,90.9%,9.1%,0%,0%,0%,0%
20024503,Agricultural Sciences,Plant Sciences,Mississippi State University,Horticulture (degree: PhD in Agricultural Sciences),21,15.89,19%,24%,19,7,1.8,57.1%,14.3%,0%,0%,0%,0%
20047195,Agricultural Sciences,Plant Sciences,Michigan State University,Plant Pathology,28,8.01,14%,79%,13,9,3.5,77.8%,11.1%,0%,0%,0%,0%
20024590,Agricultural Sciences,Plant Sciences,Mississippi State University,Weed Science (degree: PhD in Agricultural Sciences),18,11.39,11%,50%,9,10,2.4,100%,0%,0%,0%,0%,0%
20060211,Agricultural Sciences,Plant Sciences,Montana State University - Bozeman,Plant Science,30,28.4,10%,63%,30,8,2.6,45.5%,0%,,,66.7%,
20062293,Agricultural Sciences,Plant Sciences,New Mexico State University Main Campus,Plant and Environmental Sciences,32,27,34%,59%,26,22,5.8,41.2%,0%,0%,33.3%,0%,33.3%
20041311,Agricultural Sciences,Plant Sciences,North Carolina State University,Botany,22,16.99,18%,77%,19,22,3.8,35%,0%,0%,0%,0%,40%
20041382,Agricultural Sciences,Plant Sciences,North Carolina State University,Crop Science,52,49.03,19%,62%,51,39,7.4,55.3%,5.3%,0%,0%,0%,14.3%
20041476,Agricultural Sciences,Plant Sciences,North Carolina State University,Horticultural Science,33,29.96,3%,91%,29,18,2.4,76.5%,5.9%,0%,0%,0%,20%
20041612,Agricultural Sciences,Plant Sciences,North Carolina State University,Plant Pathology,31,25.51,29%,65%,30,24,4.2,52.2%,0%,0%,0%,0%,12.5%
20026912,Agricultural Sciences,Plant Sciences,North Dakota State University Main Campus,Plant Pathology,13,10.66,23%,69%,11,12,3.6,75%,0%,,0%,,
20026925,Agricultural Sciences,Plant Sciences,North Dakota State University Main Campus,Plant Sciences,34,28.13,12%,62%,25,25,10,33.3%,0%,0%,33.3%,0%,33.3%
20029090,Agricultural Sciences,Plant Sciences,Ohio State University Main Campus,Horticulture and Crop Science,31,29.03,13%,84%,30,25,4.25,88.9%,0%,0%,0%,0%,0%
20029281,Agricultural Sciences,Plant Sciences,Ohio State University Main Campus,Plant Pathology,20,16.46,10%,85%,16,12,4.25,75%,0%,0%,0%,0%,0%
20070612,Agricultural Sciences,Plant Sciences,Ohio State University Main Campus,Plant Cellular and Molecular Biology Program,17,7.76,24%,76%,10,26,3.75,53.8%,46.2%,0%,0%,0%,0%
20013815,Agricultural Sciences,Plant Sciences,Ohio University Main Campus,Environmental and Plant Biology,13,13,31%,62%,13,17,4.2,0%,75%,0%,0%,0%,0%
20041939,Agricultural Sciences,Plant Sciences,Oklahoma State University Main Campus,Crop Science,18,16.92,0%,72%,18,19,6,0%,0%,0%,76.5%,11.8%,11.8%
20042080,Agricultural Sciences,Plant Sciences,Oklahoma State University Main Campus,Plant Pathology,10,9,0%,80%,9,10,3,88.9%,0%,,,,
20018548,Agricultural Sciences,Plant Sciences,Oregon State University,Botany and Plant Pathology,46,24.98,9%,57%,30,22,4.8,28.6%,42.9%,0%,0%,0%,0%
20018551,Agricultural Sciences,Plant Sciences,Oregon State University,Crop Science,33,19.57,6%,58%,20,11,3.2,100%,0%,0%,0%,0%,0%
20018645,Agricultural Sciences,Plant Sciences,Oregon State University,Horticulture,44,23.64,5%,61%,23,15,3.6,69.2%,0%,0%,0%,0%,0%
20063250,Agricultural Sciences,Plant Sciences,Oregon State University,Rangeland Ecology and Management,22,13.11,5%,55%,10,7,1.6,40%,0%,0%,0%,0%,0%
20031486,Agricultural Sciences,Plant Sciences,Penn State University,Horticulture,32,13.99,6%,84%,19,10,3.6,0%,0%,11.1%,0%,0%,44.4%
20031703,Agricultural Sciences,Plant Sciences,Penn State University,Plant Biology,47,13.83,11%,85%,30,47,7,35.1%,21.3%,31.8%,0%,0%,0%
20031716,Agricultural Sciences,Plant Sciences,Penn State University,Plant Pathology,44,19.35,9%,84%,20,14,2,48%,0%,20%,0%,0%,0%
20055608,Agricultural Sciences,Plant Sciences,Purdue University Main Campus,Agronomy- Crops & Genetic,50,15.41,20%,74%,16,14,3.4,64.3%,0%,0%,50%,0%,0%
20055695,Agricultural Sciences,Plant Sciences,Purdue University Main Campus,Botany & Plant Pathology,51,23.39,16%,75%,23,28,6.8,76.9%,15.4%,0%,0%,0%,0%
20055912,Agricultural Sciences,Plant Sciences,Purdue University Main Campus,Horticulture,52,19.12,12%,87%,20,31,3.8,34.5%,0%,0%,25%,0%,0%
20012764,Agricultural Sciences,Plant Sciences,Rutgers The State University of New Jersey New Brunswick Campus,Plant Biology,41,36.87,10%,90%,41,40,5.2,43.9%,17.1%,25%,0%,0%,0%
20021768,Agricultural Sciences,Plant Sciences,Texas A & M University,Plant Pathology,16,13.63,31%,69%,16,23,4.6,65%,0%,100%,0%,0%,0%
20040561,Agricultural Sciences,Plant Sciences,Southern Illinois University Carbondale,Plant Biology,21,16.7,10%,71%,15,17,3,23.5%,23.5%,40%,0%,0%,0%
20021755,Agricultural Sciences,Plant Sciences,Texas A & M University,Horticulture,33,26.23,15%,42%,27,15,4.4,45.5%,27.3%,0%,0%,0%,0%
20021797,Agricultural Sciences,Plant Sciences,Texas A & M University,Agronomy,33,21.9,18%,42%,33,14,3.6,100%,0%,*,*,*,*
20022262,Agricultural Sciences,Plant Sciences,Texas A & M University,Plant Breeding,11,6.43,36%,45%,11,15,5.4,66.7%,0%,0%,0%,0%,0%
20034250,Agricultural Sciences,Plant Sciences,University of Arizona,Plant Pathology,24,11.01,25%,,12,18,3,62.5%,31.3%,0%,0%,0%,0%
20013747,Agricultural Sciences,Plant Sciences,University of Arkansas Main Campus,Plant Science,29,18.86,3%,97%,16,14,3.8,85.7%,0%,0%,0%,50%,0%
20034263,Agricultural Sciences,Plant Sciences,University of Arizona,Plant Science,30,17.02,23%,,18,25,5.6,48%,20%,0%,0%,0%,0%
20061171,Agricultural Sciences,Plant Sciences,University of California-Berkeley,Plant Biology,29,20.88,10%,62%,27,43,7.6,44.2%,0%,55.6%,11.1%,11.1%,0%
20067382,Agricultural Sciences,Plant Sciences,University of California-Davis,Plant Biology,80,42.76,6%,79%,59,70,12,42%,7.2%,40%,0%,30%,0%
20067395,Agricultural Sciences,Plant Sciences,University of California-Davis,Plant Pathology,40,20.4,0%,83%,28,24,6.4,62.5%,4.2%,25%,0%,0%,0%
20048916,Agricultural Sciences,Plant Sciences,University of California-Riverside,Plant Biology,38,32.06,16%,79%,32,39,6.4,25.6%,0%,0%,0%,87.5%,0%
20048929,Agricultural Sciences,Plant Sciences,University of California-Riverside,Plant Pathology,23,19.04,17%,70%,20,16,3,37.5%,0%,33.3%,66.7%,0%,0%
20024286,Agricultural Sciences,Plant Sciences,University of Connecticut,Plant Science PhD,26,17.26,15%,77%,18,16,4.5,0%,0%,*,*,*,*
20012308,Agricultural Sciences,Plant Sciences,University of Delaware,Plant and Soil Sciences,33,29.55,18%,67%,28,28,6,26.7%,3.3%,,,,
20012913,Agricultural Sciences,Plant Sciences,University of Florida,Agronomy,41,34.22,12%,51%,32,22,5.2,54.5%,0%,0%,25%,50%,0%
20012968,Agricultural Sciences,Plant Sciences,University of Florida,Botany,20,13.86,10%,85%,15,33,7.2,12.1%,54.5%,33.3%,0%,0%,0%
20013190,Agricultural Sciences,Plant Sciences,University of Florida,Horticultural Science,48,39.93,15%,79%,47,30,7,60.7%,0%,11.1%,0%,0%,0%
20013417,Agricultural Sciences,Plant Sciences,University of Florida,Plant Molecular and Cellular Biology,34,21.21,15%,68%,34,30,6.8,70%,0%,33.3%,0%,0%,0%
20013420,Agricultural Sciences,Plant Sciences,University of Florida,Plant Pathology,36,30.47,8%,69%,29,24,6,73.9%,4.3%,16.7%,0%,0%,0%
20019550,Agricultural Sciences,Plant Sciences,University of Georgia,Agronomy,42,23.86,5%,55%,25,17,4.4,37.8%,0%,0%,0%,0%,0%
20019783,Agricultural Sciences,Plant Sciences,University of Georgia,Horticulture,40,20.04,3%,90%,20,10,2,80%,0%,0%,0%,0%,0%
20019916,Agricultural Sciences,Plant Sciences,University of Georgia,Plant Biology,94,34.24,11%,68%,28,45,9.8,28%,28.7%,23.9%,6.5%,2.2%,6.5%
20019929,Agricultural Sciences,Plant Sciences,University of Georgia,Plant Pathology,30,19.76,10%,70%,19,7,3.4,33.3%,0%,0%,25%,25%,0%
20014681,Agricultural Sciences,Plant Sciences,University of Hawaii At Manoa,Botany,15,12.48,20%,53%,13,32,6,43.3%,40%,,,,
20014953,Agricultural Sciences,Plant Sciences,University of Hawaii At Manoa,Tropical Plant & Soil Sciences,22,17.27,0%,64%,16,23,4,76.2%,0%,,0%,,
20067683,Agricultural Sciences,Plant Sciences,University of Idaho,Plant Science,37,31.5,16%,84%,27,26,2.6,0%,0%,0%,50%,0%,50%
20038832,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Biology-Physiological and Molecular Plant Biology,29,9.73,21%,72%,19,18,3.6,43.8%,37.5%,0%,0%,0%,0%
20038942,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Crop Sciences,51,25.18,14%,86%,32,24,4.8,45.5%,0%,0%,0%,25%,0%
20039190,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Natural Resources and Environmental Science,87,38.99,9%,86%,41,36,5,41.2%,14.7%,0%,50%,0%,0%
20039268,Agricultural Sciences,Plant Sciences,University of Illinois At Urbana-Champaign,Plant Biology,25,12.33,16%,64%,21,14,3.5,42.9%,35.7%,0%,0%,0%,0%
20028156,Agricultural Sciences,Plant Sciences,University of Kentucky,Crop Science,34,17.68,6%,91%,15,14,3.4,57.1%,0%,0%,0%,0%,0%
20028392,Agricultural Sciences,Plant Sciences,University of Kentucky,Plant Pathology,24,12.42,8%,88%,11,17,3.4,58.8%,0%,0%,0%,0%,0%
20028402,Agricultural Sciences,Plant Sciences,University of Kentucky,Plant Physiology,28,13.46,11%,82%,13,18,5.4,76.5%,0%,0%,0%,0%,0%
20050409,Agricultural Sciences,Plant Sciences,University of Maryland College Park,Natural Resource Sciences,32,24.88,9%,81%,24,19,4.8,75%,25%,0%,0%,0%,0%
20048123,Agricultural Sciences,Plant Sciences,University of Massachusetts Amherst,Plant Biology,15,8.25,27%,60%,14,13,3.8,53.8%,30.8%,0%,0%,16.7%,0%
20048136,Agricultural Sciences,Plant Sciences,University of Massachusetts Amherst,Plant and Soil Sciences,30,18.17,7%,77%,19,16,3.6,41.7%,8.3%,0%,0%,0%,0%
20039624,Agricultural Sciences,Plant Sciences,University of Minnesota-Twin Cities,Applied Plant Sciences,45,33,2%,84%,38,23,4.6,77.8%,5.6%,*,*,*,*
20040202,Agricultural Sciences,Plant Sciences,University of Minnesota-Twin Cities,Plant Biological Sciences,47,30.46,23%,68%,42,43,8.4,60.5%,32.6%,0%,0%,0%,0%
20040215,Agricultural Sciences,Plant Sciences,University of Minnesota-Twin Cities,Plant Pathology,23,18.61,4%,52%,18,10,2.8,70%,10%,0%,0%,0%,0%
20017125,Agricultural Sciences,Plant Sciences,University of Nebraska - Lincoln,Agronomy,78,48.93,3%,86%,40,34,10.8,60%,0%,0%,0%,0%,0%
20025544,Agricultural Sciences,Plant Sciences,University of Missouri - Columbia,"Plant, Insect and Microbial Sciences",33,31.3,6%,67%,33,42,10.4,66.7%,0%,12.5%,0%,0%,0%
20017138,Agricultural Sciences,Plant Sciences,University of Nebraska - Lincoln,Plant Systems Biology,31,11.83,10%,81%,17,12,3.2,41.7%,8.3%,,,50%,
20050700,Agricultural Sciences,Plant Sciences,University of New Hampshire,Plant Biology,19,14.53,0%,74%,13,8,1.4,50%,37.5%,0%,0%,0%,0%
20045980,Agricultural Sciences,Plant Sciences,University of Tennessee,"Plants, Soils, and Insects",59,51.11,7%,66%,51,21,4.8,100%,0%,0%,0%,0%,0%
20061809,Agricultural Sciences,Plant Sciences,University of Texas At Austin,Plant Biology,30,15.25,17%,80%,22,37,6.4,25.7%,57.1%,20%,0%,0%,0%
20030403,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Botany,20,12.75,30%,,17,41,8,52.6%,31.6%,0%,0%,0%,0%
20030296,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Agronomy,24,10.81,13%,,12,8,2.8,100%,0%,0%,0%,0%,0%
20030995,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Plant Breeding and Plant Genetics,31,14.29,10%,,21,34,7.8,,,*,*,*,*
20030720,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Horticulture,20,9.78,30%,,14,7,2,28.6%,0%,*,*,*,*
20031004,Agricultural Sciences,Plant Sciences,University of Wisconsin-Madison,Plant Pathology,17,9.85,12%,,17,30,6.6,96.6%,0%,0%,0%,0%,0%
20024723,Agricultural Sciences,Plant Sciences,University of Wyoming,Plant Science,13,11.3,0%,69%,11,7,2,,,,,,
20062743,Agricultural Sciences,Plant Sciences,Utah State University,Plant Science (AG),17,17,12%,59%,17,1,1.5,100%,0%,0%,0%,0%,0%
20044486,Agricultural Sciences,Plant Sciences,Virginia Polytechnic Institute And State University,Crop and Soil Environmental Sciences,59,30.68,14%,83%,32,11,4,37.5%,25%,0%,0%,0%,33.3%
20044606,Agricultural Sciences,Plant Sciences,Virginia Polytechnic Institute And State University,Horticulture,31,19.11,16%,77%,18,5,3,0%,75%,0%,0%,0%,0%
20044703,Agricultural Sciences,Plant Sciences,Virginia Polytechnic Institute And State University,"Plant Pathology, Physiology and Weed Science",42,23.94,17%,81%,25,12,3.2,50%,10%,0%,0%,0%,0%
